VIX,VIX
19.4,19.4
18.4,18.4
17.42,17.42
17.08,17.08
16.17,16.17
17.67,17.67
18.03,18.03
16.05,16.05
15.05,15.05
14.98,14.98
15.75,15.75
16.7,16.7
14.45,14.45
14.46,14.46
15.29,15.29
15.43,15.43
14.33,14.33
14.61,14.61
15.07,15.07
14.15,14.15
14.54,14.54
15.51,15.51
15.05,15.05
14.33,14.33
16.52,16.52
15.29,15.29
16.06,16.06
18.37,18.37
20.08,20.08
18.16,18.16
18.84,18.84
16.85,16.85
16.99,16.99
15.47,15.47
15.62,15.62
15.93,15.93
15.19,15.19
15.12,15.12
16.13,16.13
14.67,14.67
15.91,15.91
18.11,18.11
14.81,14.81
15.84,15.84
17.6,17.6
19.61,19.61
19.34,19.34
24.39,24.39
22.73,22.73
20.95,20.95
17.86,17.86
18.94,18.94
20.7,20.7
18.7,18.7
16.6,16.6
15.57,15.57
15.74,15.74
16.91,16.91
16.08,16.08
17.29,17.29
18.21,18.21
20.7,20.7
19.34,19.34
20.59,20.59
24.99,24.99
27.01,27.01
24.3,24.3
22.47,22.47
25.22,25.22
23.95,23.95
27.02,27.02
26.05,26.05
27.59,27.59
26.69,26.69
22.34,22.34
24.15,24.15
22.5,22.5
23.11,23.11
22.42,22.42
20.2,20.2
19.98,19.98
21.98,21.98
21.65,21.65
21.84,21.84
23.38,23.38
26,26
26.54,26.54
26.29,26.29
28.14,28.14
25.4,25.4
24.11,24.11
22.31,22.31
21.64,21.64
20.53,20.53
19.38,19.38
20.98,20.98
20.72,20.72
19.11,19.11
19.81,19.81
20.55,20.55
17.7,17.7
17.09,17.09
16.7,16.7
16.86,16.86
17.35,17.35
18.67,18.67
18.34,18.34
18.05,18.05
16.5,16.5
16.92,16.92
16.84,16.84
14.99,14.99
14.44,14.44
14.02,14.02
13.79,13.79
14.17,14.17
14.94,14.94
14.74,14.74
15.24,15.24
13.82,13.82
13.56,13.56
13.95,13.95
13.1,13.1
14.12,14.12
15.42,15.42
14.09,14.09
16.16,16.16
15.36,15.36
16.26,16.26
14.85,14.85
13.84,13.84
13.72,13.72
13.62,13.62
13.35,13.35
13.24,13.24
13.28,13.28
13.95,13.95
13.22,13.22
14.08,14.08
13.96,13.96
13.77,13.77
15.22,15.22
15.7,15.7
14.68,14.68
15.6,15.6
16.05,16.05
15.91,15.91
14.72,14.72
14.57,14.57
13.63,13.63
14.69,14.69
14.41,14.41
15.04,15.04
14.68,14.68
15.57,15.57
15.95,15.95
16.33,16.33
15.2,15.2
15.82,15.82
14.42,14.42
13.9,13.9
13.43,13.43
13.12,13.12
14.19,14.19
14.2,14.2
13.63,13.63
13.47,13.47
13.65,13.65
14.05,14.05
14.08,14.08
14.64,14.64
17.03,17.03
20.97,20.97
20.5,20.5
20.14,20.14
19.37,19.37
19.41,19.41
18.37,18.37
18.48,18.48
21.17,21.17
17.25,17.25
25.76,25.76
23.85,23.85
18.75,18.75
16.64,16.64
15.63,15.63
14.77,14.77
15.58,15.58
14.96,14.96
14.76,14.76
13.2,13.2
13.54,13.54
13.55,13.55
13.04,13.04
12.82,12.82
12.67,12.67
12.44,12.44
11.97,11.97
11.77,11.77
12.74,12.74
12.02,12.02
12.87,12.87
13.05,13.05
12.83,12.83
12.72,12.72
11.87,11.87
12.44,12.44
13.37,13.37
12.86,12.86
12.42,12.42
11.39,11.39
11.5,11.5
11.66,11.66
12.05,12.05
11.68,11.68
11.55,11.55
11.81,11.81
12.64,12.64
12.19,12.19
11.43,11.43
11.34,11.34
12.27,12.27
12.38,12.38
13.45,13.45
13.63,13.63
13.65,13.65
12.94,12.94
13.12,13.12
13.42,13.42
13.48,13.48
11.98,11.98
12.02,12.02
11.94,11.94
12.51,12.51
17.5,17.5
15.16,15.16
17.85,17.85
18.14,18.14
16.3,16.3
15.37,15.37
15.53,15.53
15.92,15.92
13.3,13.3
12.02,12.02
12.29,12.29
14.5,14.5
13.1,13.1
12.39,12.39
14.02,14.02
13.29,13.29
13.57,13.57
13.63,13.63
12.99,12.99
12.84,12.84
13.48,13.48
13.38,13.38
15.36,15.36
15.91,15.91
16.69,16.69
16.12,16.12
16.21,16.21
15.28,15.28
14.41,14.41
13.75,13.75
13.34,13.34
13.02,13.02
13.46,13.46
14.24,14.24
15.36,15.36
16.19,16.19
17.06,17.06
18.56,18.56
19.32,19.32
22.08,22.08
22.51,22.51
18.71,18.71
18.74,18.74
14.38,14.38
14.74,14.74
14.17,14.17
14.48,14.48
13.37,13.37
13.72,13.72
13.35,13.35
12.85,12.85
12.42,12.42
12.41,12.41
12.43,12.43
12.34,12.34
13.15,13.15
12.9,12.9
13.33,13.33
14.07,14.07
14.12,14.12
12.14,12.14
11.79,11.79
12.22,12.22
12.64,12.64
11.75,11.75
12.64,12.64
12.72,12.72
13.19,13.19
12.79,12.79
12.2,12.2
11.71,11.71
11.45,11.45
11.27,11.27
11.43,11.43
11.44,11.44
11.99,11.99
12.95,12.95
13.37,13.37
14.04,14.04
12.85,12.85
11.85,11.85
11.67,11.67
11.32,11.32
11.56,11.56
11.49,11.49
11.26,11.26
11.54,11.54
11.23,11.23
11.87,11.87
12.48,12.48
12.78,12.78
11.54,11.54
11.77,11.77
11.07,11.07
10.81,10.81
10.63,10.63
10.58,10.58
11.88,11.88
11.99,11.99
11.81,11.81
11.93,11.93
10.97,10.97
11.37,11.37
11.29,11.29
11.45,11.45
10.88,10.88
10.85,10.85
11.07,11.07
10.74,10.74
11.97,11.97
11.76,11.76
11.49,11.49
11.57,11.57
11.74,11.74
11.71,11.71
11.47,11.47
12.09,12.09
12.92,12.92
12.54,12.54
11.81,11.81
10.96,10.96
11.24,11.24
11.45,11.45
11.86,11.86
12.3,12.3
11.66,11.66
11.35,11.35
12.3,12.3
11.63,11.63
11.21,11.21
11.28,11.28
11.34,11.34
12.47,12.47
12.81,12.81
13.12,13.12
12.96,12.96
12.5,12.5
11.53,11.53
11.42,11.42
11.54,11.54
12.37,12.37
12.38,12.38
11.79,11.79
12.89,12.89
12.39,12.39
12.87,12.87
14.05,14.05
15.07,15.07
15.77,15.77
15.96,15.96
14.66,14.66
14.42,14.42
14.93,14.93
14.15,14.15
14.63,14.63
10.84,10.84
10.76,10.76
10.85,10.85
10.36,10.36
10.82,10.82
10.11,10.11
10.59,10.59
10.68,10.68
10.46,10.46
10.57,10.57
9.77,9.77
9.96,9.96
10.21,10.21
10.6,10.6
10.4,10.4
10.42,10.42
10.65,10.65
15.59,15.59
14.66,14.66
12.04,12.04
10.93,10.93
10.72,10.72
10.02,10.02
9.99,9.99
9.81,9.81
10.38,10.38
10.41,10.41
9.89,9.89
9.75,9.75
10.07,10.07
10.45,10.45
10.39,10.39
10.16,10.16
10.7,10.7
11.46,11.46
10.42,10.42
10.64,10.64
10.9,10.9
10.38,10.38
10.37,10.37
10.86,10.86
10.75,10.75
10.48,10.48
10.02,10.02
9.9,9.9
11.06,11.06
10.03,10.03
11.44,11.44
11.18,11.18
11.22,11.22
11.07,11.07
12.54,12.54
11.19,11.19
11.11,11.11
10.89,10.89
10.3,10.3
9.9,9.9
9.51,9.51
9.82,9.82
9.95,9.95
9.79,9.79
9.58,9.58
9.36,9.36
9.43,9.43
9.43,9.43
9.6,9.6
10.11,10.11
10.29,10.29
10.26,10.26
10.09,10.09
10.28,10.28
10.44,10.44
10.03,10.03
9.93,9.93
10.96,10.96
11.11,11.11
16.04,16.04
15.51,15.51
12.33,12.33
12.04,12.04
11.74,11.74
15.55,15.55
14.26,14.26
13.19,13.19
11.35,11.35
12.25,12.25
12.23,12.23
11.28,11.28
11.32,11.32
11.7,11.7
11.22,11.22
10.59,10.59
10.13,10.13
12.23,12.23
11.63,11.63
11.55,11.55
12.12,12.12
10.73,10.73
10.58,10.58
10.5,10.5
10.44,10.44
10.17,10.17
10.15,10.15
10.18,10.18
9.78,9.78
9.67,9.67
9.59,9.59
10.21,10.21
10.17,10.17
9.87,9.87
9.55,9.55
9.51,9.51
9.45,9.45
9.51,9.51
9.63,9.63
9.19,9.19
9.65,9.65
10.33,10.33
10.08,10.08
9.85,9.85
9.91,9.91
9.61,9.61
9.91,9.91
10.31,10.31
10.07,10.07
10.05,10.05
9.97,9.97
11.07,11.07
11.16,11.16
11.23,11.23
11.3,11.3
9.8,9.8
10.5,10.5
10.18,10.18
10.2,10.2
9.93,9.93
9.14,9.14
9.4,9.4
9.89,9.89
9.78,9.78
10.5,10.5
11.29,11.29
11.5,11.5
11.59,11.59
13.13,13.13
11.76,11.76
11.43,11.43
10.65,10.65
9.73,9.73
9.88,9.88
9.67,9.67
9.87,9.87
10.03,10.03
10.7,10.7
11.28,11.28
11.43,11.43
11.68,11.68
11.33,11.33
11.02,11.02
10.16,10.16
9.58,9.58
9.34,9.34
9.92,9.92
10.18,10.18
10.49,10.49
9.42,9.42
9.53,9.53
10.03,10.03
9.72,9.72
9.62,9.62
9.9,9.9
10.25,10.25
10.47,10.47
10.18,10.18
11.04,11.04
9.77,9.77
9.15,9.15
9.22,9.22
9.22,9.22
9.52,9.52
10.08,10.08
9.82,9.82
9.88,9.88
10.16,10.16
11.66,11.66
11.91,11.91
12.22,12.22
11.27,11.27
11.03,11.03
11.1,11.1
11.47,11.47
11.58,11.58
11.08,11.08
13.84,13.84
14.79,14.79
13.54,13.54
13.47,13.47
17.31,17.31
37.32,37.32
29.98,29.98
27.73,27.73
33.46,33.46
29.06,29.06
25.61,25.61
24.97,24.97
19.26,19.26
19.13,19.13
19.46,19.46
20.6,20.6
20.02,20.02
18.72,18.72
16.49,16.49
15.8,15.8
18.59,18.59
19.85,19.85
22.47,22.47
19.59,19.59
18.73,18.73
18.36,18.36
17.76,17.76
16.54,16.54
14.64,14.64
15.78,15.78
16.35,16.35
17.23,17.23
16.59,16.59
15.8,15.8
19.02,19.02
18.2,18.2
17.86,17.86
23.34,23.34
24.87,24.87
21.03,21.03
22.5,22.5
22.87,22.87
19.97,19.97
23.62,23.62
21.1,21.1
20.06,20.06
18.94,18.94
21.49,21.49
21.77,21.77
20.47,20.47
20.24,20.24
18.49,18.49
17.41,17.41
16.56,16.56
15.25,15.25
15.6,15.6
15.96,15.96
16.88,16.88
16.34,16.34
18.02,18.02
17.84,17.84
16.24,16.24
15.41,15.41
15.93,15.93
15.49,15.49
15.97,15.97
15.9,15.9
14.77,14.77
14.75,14.75
14.71,14.71
13.42,13.42
13.23,13.23
12.65,12.65
12.93,12.93
14.63,14.63
13.42,13.42
13.43,13.43
13.42,13.42
13.08,13.08
13.22,13.22
12.58,12.58
12.53,12.53
13.22,13.22
17.02,17.02
14.94,14.94
15.43,15.43
13.46,13.46
12.74,12.74
12.4,12.4
11.64,11.64
12.13,12.13
12.18,12.18
12.35,12.35
12.34,12.34
12.94,12.94
12.12,12.12
11.98,11.98
12.31,12.31
13.35,13.35
12.79,12.79
14.64,14.64
13.77,13.77
17.33,17.33
15.92,15.92
17.91,17.91
16.85,16.85
16.09,16.09
15.6,15.6
16.14,16.14
14.97,14.97
13.37,13.37
12.69,12.69
12.64,12.64
13.63,13.63
12.58,12.58
12.18,12.18
12.83,12.83
12.06,12.06
12.1,12.1
12.87,12.87
12.86,12.86
12.62,12.62
12.41,12.41
12.29,12.29
12.14,12.14
13.03,13.03
14.26,14.26
12.83,12.83
13.15,13.15
12.19,12.19
11.64,11.64
11.27,11.27
10.93,10.93
10.85,10.85
11.27,11.27
13.16,13.16
14.78,14.78
13.31,13.31
14.64,14.64
13.45,13.45
12.64,12.64
12.49,12.49
12.86,12.86
12.25,12.25
12.41,12.41
11.99,11.99
12.16,12.16
12.5,12.5
12.25,12.25
13.53,13.53
12.86,12.86
13.16,13.16
13.91,13.91
14.65,14.65
14.88,14.88
14.16,14.16
13.22,13.22
13.14,13.14
12.37,12.37
12.07,12.07
13.68,13.68
12.79,12.79
11.75,11.75
11.8,11.8
11.68,11.68
12.2,12.2
12.42,12.42
12.89,12.89
12.41,12.41
12.12,12.12
12,12
12.05,12.05
11.61,11.61
14.22,14.22
14.82,14.82
15.69,15.69
15.95,15.95
22.96,22.96
24.98,24.98
21.31,21.31
21.3,21.3
17.62,17.62
17.4,17.4
20.06,20.06
19.89,19.89
19.64,19.64
20.71,20.71
25.23,25.23
24.22,24.22
24.16,24.16
24.7,24.7
23.35,23.35
21.23,21.23
19.34,19.34
19.51,19.51
19.96,19.96
19.91,19.91
16.36,16.36
16.72,16.72
17.36,17.36
20.45,20.45
20.02,20.02
21.25,21.25
19.98,19.98
18.14,18.14
20.1,20.1
22.48,22.48
20.8,20.8
21.52,21.52
18.9,18.9
19.02,19.02
18.49,18.49
18.79,18.79
18.07,18.07
16.44,16.44
20.74,20.74
21.19,21.19
23.23,23.23
22.64,22.64
21.76,21.76
21.46,21.46
20.65,20.65
21.63,21.63
24.52,24.52
25.58,25.58
25.58,25.58
28.38,28.38
30.11,30.11
36.07,36.07
30.41,30.41
29.96,29.96
28.34,28.34
25.42,25.42
23.22,23.22
25.45,25.45
21.38,21.38
21.4,21.4
20.47,20.47
19.98,19.98
19.5,19.5
18.19,18.19
19.07,19.07
18.6,18.6
19.04,19.04
18.06,18.06
17.8,17.8
20.8,20.8
19.52,19.52
18.89,18.89
17.42,17.42
18.87,18.87
19.13,19.13
17.66,17.66
16.57,16.57
16.14,16.14
15.73,15.73
15.57,15.57
15.38,15.38
16.37,16.37
15.72,15.72
15.97,15.97
15.43,15.43
15.65,15.65
16.22,16.22
14.91,14.91
14.88,14.88
14.02,14.02
14.46,14.46
13.51,13.51
14.85,14.85
15.17,15.17
14.7,14.7
14.78,14.78
13.57,13.57
14.63,14.63
14.74,14.74
15.74,15.74
16.59,16.59
16.05,16.05
14.33,14.33
13.77,13.77
13.41,13.41
13.5,13.5
12.88,12.88
13.1,13.1
13.56,13.56
13.91,13.91
13.63,13.63
16.48,16.48
16.33,16.33
14.68,14.68
15.15,15.15
14.43,14.43
13.71,13.71
13.4,13.4
13.36,13.36
13.74,13.74
13.58,13.58
12.82,12.82
13.18,13.18
14.28,14.28
13.3,13.3
13.02,13.02
12.01,12.01
12.32,12.32
12.18,12.18
12.6,12.6
12.09,12.09
12.42,12.42
12.28,12.28
13.14,13.14
13.25,13.25
12.73,12.73
13.11,13.11
13.12,13.12
14.8,14.8
14.42,14.42
12.87,12.87
15.44,15.44
19.32,19.32
19.4,19.4
19.1,19.1
16.04,16.04
20.55,20.55
18.06,18.06
16.44,16.44
15.29,15.29
15.96,15.96
16.31,16.31
14.95,14.95
14.75,14.75
16.92,16.92
15.85,15.85
17.5,17.5
17.9,17.9
17.3,17.3
18.71,18.71
18.86,18.86
16.97,16.97
16.09,16.09
15.93,15.93
16.3,16.3
15.94,15.94
15.99,15.99
15.91,15.91
15.82,15.82
15.28,15.28
15.35,15.35
15.15,15.15
14.33,14.33
14.75,14.75
15.4,15.4
15.26,15.26
16.28,16.28
16.21,16.21
15.82,15.82
15.08,15.08
14.06,14.06
12.93,12.93
12.57,12.57
13.28,13.28
13.96,13.96
14.09,14.09
13.03,13.03
12.93,12.93
12.39,12.39
12.68,12.68
12.86,12.86
13.97,13.97
13.53,13.53
14.45,14.45
13.53,13.53
12.61,12.61
12.07,12.07
12.74,12.74
12.16,12.16
12.83,12.83
13.94,13.94
16.12,16.12
17.87,17.87
17.61,17.61
24.59,24.59
20.17,20.17
19.49,19.49
16.91,16.91
17.97,17.97
21.09,21.09
17.52,17.52
22.1,22.1
21.18,21.18
18.47,18.47
16.88,16.88
17.5,17.5
15.8,15.8
16.68,16.68
19.87,19.87
19.32,19.32
20.31,20.31
19.35,19.35
17.88,17.88
18.98,18.98
19.66,19.66
17.33,17.33
16.27,16.27
15,15
15.27,15.27
15.2,15.2
14.61,14.61
14.22,14.22
13.74,13.74
14.67,14.67
14.44,14.44
13.95,13.95
14.05,14.05
15.32,15.32
14.91,14.91
17.05,17.05
15.96,15.96
16.07,16.07
17.22,17.22
16.24,16.24
18.56,18.56
20.56,20.56
19.12,19.12
17.04,17.04
17.86,17.86
20.28,20.28
18.64,18.64
17.57,17.57
15.58,15.58
14.57,14.57
13.54,13.54
13.68,13.68
13.79,13.79
14.25,14.25
14,14
14.46,14.46
14.01,14.01
13.71,13.71
12.65,12.65
13.11,13.11
13.2,13.2
12.33,12.33
13.22,13.22
12.3,12.3
12.83,12.83
13.1,13.1
12.62,12.62
12.73,12.73
12.07,12.07
12.69,12.69
12.68,12.68
13,13
13.05,13.05
12.05,12.05
12.46,12.46
12.86,12.86
12.78,12.78
13.13,13.13
12.34,12.34
11.87,11.87
11.54,11.54
11.75,11.75
12.62,12.62
14.91,14.91
15.96,15.96
14.8,14.8
14.52,14.52
13.62,13.62
15.86,15.86
15.68,15.68
14.99,14.99
13.94,13.94
12.63,12.63
12.14,12.14
12.29,12.29
12.58,12.58
12.5,12.5
12.51,12.51
12.61,12.61
12.67,12.67
12.65,12.65
13.43,13.43
14.82,14.82
13.78,13.78
12.47,12.47
14.02,14.02
13.85,13.85
13.79,13.79
13.45,13.45
12.54,12.54
12.56,12.56
12.32,12.32
12.39,12.39
12.42,12.42
12.32,12.32
12.1,12.1
12.85,12.85
12.91,12.91
12.98,12.98
14.56,14.56
18.23,18.23
16.28,16.28
16.39,16.39
15.49,15.49
18.84,18.84
17.97,17.97
16.05,16.05
15.15,15.15
14.96,14.96
15.47,15.47
15.04,15.04
15.18,15.18
13.74,13.74
14.15,14.15
13.68,13.68
14.83,14.83
14.38,14.38
15.56,15.56
17.08,17.08
25.03,25.03
27.85,27.85
27.56,27.56
39.16,39.16
40.11,40.11
33.42,33.42
36.82,36.82
31.99,31.99
39.62,39.62
41.94,41.94
54.46,54.46
47.3,47.3
53.9,53.9
75.47,75.47
57.83,57.83
82.69,82.69
75.91,75.91
76.45,76.45
72,72
66.04,66.04
61.59,61.59
61.67,61.67
63.95,63.95
61,61
65.54,65.54
57.08,57.08
53.54,53.54
57.06,57.06
50.91,50.91
46.8,46.8
45.24,45.24
46.7,46.7
43.35,43.35
41.67,41.67
41.17,41.17
37.76,37.76
40.84,40.84
40.11,40.11
38.15,38.15
